RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,NE,8-2-0,53,26.2,"$268,229,488","$54,379,413","$207,337,813","$8,325,130","$49,231,545"
2,WAS,3-7-0,53,28.7,"$273,497,812","$25,393,401","$201,753,976","$46,595,238","$21,399,098"
3,CLE,2-7-0,52,26.0,"$301,501,205","$24,411,693","$168,216,134","$48,229,369","$81,709,702"
4,DET,6-3-0,53,27.0,"$284,859,880","$21,616,145","$222,649,857","$27,427,227","$31,264,296"
5,DAL,3-5-1,54,26.3,"$286,437,812","$20,549,719","$211,970,832","$32,644,987","$36,235,539"
6,SF,6-4-0,53,27.2,"$320,993,276","$20,467,606","$149,079,366","$66,022,102","$102,033,808"
7,PIT,5-4-0,52,27.5,"$266,011,577","$20,019,888","$220,534,234","$19,837,949","$22,345,894"
8,CAR,5-5-0,53,26.3,"$263,530,025","$19,750,422","$192,533,040","$34,061,993","$33,327,492"
9,TEN,1-8-0,52,26.6,"$281,380,061","$19,364,467","$187,407,755","$30,722,974","$59,614,332"
10,NYJ,2-7-0,53,26.0,"$262,373,833","$18,154,435","$129,200,486","$29,073,358","$100,791,989"
11,SEA,7-2-0,53,25.9,"$268,708,113","$17,684,449","$164,056,022","$19,223,726","$82,087,365"
12,TB,6-3-0,53,26.5,"$267,514,973","$16,488,007","$188,649,293","$37,145,571","$38,136,109"
13,MIN,4-5-0,53,26.7,"$269,159,016","$15,801,987","$232,098,462","$12,754,771","$20,391,283"
14,ARI,3-6-0,53,26.7,"$278,145,257","$15,379,839","$179,707,485","$81,409,847","$13,826,425"
15,NO,2-8-0,52,26.9,"$269,370,875","$13,778,138","$145,370,280","$21,171,238","$99,180,357"
16,BAL,4-5-0,53,26.4,"$264,815,528","$13,623,039","$202,481,751","$28,469,990","$30,178,287"
17,DEN,8-2-0,51,26.8,"$267,756,294","$12,869,157","$198,853,983","$26,338,138","$39,388,673"
18,LV,2-7-0,53,26.5,"$302,442,135","$12,480,216","$189,173,149","$22,336,625","$86,819,361"
19,CIN,3-6-0,53,26.5,"$275,790,320","$11,561,451","$193,971,603","$59,561,315","$18,725,402"
20,GB,5-3-1,53,25.6,"$287,441,217","$10,250,785","$201,725,334","$25,816,952","$56,884,431"
21,HOU,4-5-0,53,26.9,"$279,560,538","$10,006,044","$184,598,321","$32,941,221","$57,793,496"
22,PHI,7-2-0,53,26.1,"$281,694,046","$9,669,683","$187,092,220","$8,363,858","$82,515,468"
23,JAX,5-4-0,53,26.6,"$288,933,927","$9,378,900","$187,366,470","$16,677,267","$81,381,690"
24,LAR,7-2-0,53,26.9,"$272,658,436","$9,110,588","$203,594,587","$11,812,010","$53,741,839"
25,CHI,6-3-0,53,26.9,"$278,876,792","$6,452,163","$233,027,473","$34,361,222","$7,890,097"
26,MIA,3-7-0,53,26.4,"$281,000,608","$4,851,751","$151,998,265","$53,381,891","$71,764,952"
27,NYG,2-8-0,53,27.2,"$285,847,124","$4,616,722","$228,876,909","$21,579,562","$31,829,653"
28,ATL,3-6-0,53,27.0,"$280,725,692","$4,562,716","$224,873,871","$26,778,366","$25,164,955"
29,KC,5-4-0,53,26.6,"$283,438,690","$3,419,488","$250,426,593","$10,132,825","$18,929,772"
30,BUF,6-3-0,52,27.5,"$275,203,387","$2,966,811","$207,331,649","$30,991,879","$33,230,359"
31,IND,8-2-0,53,26.7,"$288,268,836","$2,379,573","$215,163,039","$52,738,151","$15,031,146"
32,LAC,7-3-0,53,27.0,"$281,891,393","$2,067,501","$204,369,252","$36,498,611","$37,474,030"
