,Team,W,L,T,win_pct,win_loss_diff,PF,Year,Player,Cap Number,Cash Spent,Position
0,Patriots,12,4,0,0.75,8,420.0,2019,James White,4625000,3218750,running-back
1,Patriots,12,4,0,0.75,8,420.0,2019,Julian Edelman,6077615,11000000,wide-receiver
2,Bills,10,6,0,0.625,4,314.0,2019,Frank Gore,2000000,2000000,running-back
3,Bills,10,6,0,0.625,4,314.0,2019,Cole Beasley,6900000,11368750,wide-receiver
4,Jets,7,9,0,0.438,-2,276.0,2019,Le'Veon Bell,8968750,14468750,running-back
5,Jets,7,9,0,0.438,-2,276.0,2019,Jamison Crowder,6781250,9000000,wide-receiver
6,Dolphins,5,11,0,0.313,-6,306.0,2019,Myles Gaskin,509895,575226,running-back
7,Dolphins,5,11,0,0.313,-6,306.0,2019,DeVante Parker,6900000,14500000,wide-receiver
8,Ravens,14,2,0,0.875,12,531.0,2019,Mark Ingram,3333333,6000000,running-back
9,Ravens,14,2,0,0.875,12,531.0,2019,Marquise Brown,2143153,7087612,wide-receiver
10,Steelers,8,8,0,0.5,0,289.0,2019,Benjamin Snell Jr.,670517,1197068,running-back
11,Steelers,8,8,0,0.5,0,289.0,2019,Diontae Johnson,778357,1628428,wide-receiver
12,Browns,6,10,0,0.375,-4,335.0,2019,Nick Chubb,1677976,815595,running-back
13,Browns,6,10,0,0.375,-4,335.0,2019,Odell Beckham Jr.,17000000,16750000,wide-receiver
14,Bengals,2,14,0,0.125,-12,279.0,2019,Giovani Bernard,5316666,5900000,running-back
15,Bengals,2,14,0,0.125,-12,279.0,2019,A.J. Green,15176000,12176000,wide-receiver
16,Texans,10,6,0,0.625,4,378.0,2019,Lamar Miller,7203125,5500000,running-back
17,Texans,10,6,0,0.625,4,378.0,2019,DeAndre Hopkins,14000000,12500000,wide-receiver
18,Titans,9,7,0,0.563,2,402.0,2019,Dion Lewis,4862500,4300000,running-back
19,Titans,9,7,0,0.563,2,402.0,2019,Adam Humphries,5000000,12375000,wide-receiver
20,Colts,7,9,0,0.438,-2,361.0,2019,Jonathan Williams,720000,720000,running-back
21,Colts,7,9,0,0.438,-2,361.0,2019,T.Y. Hilton,15000000,13000000,wide-receiver
22,Jaguars,6,10,0,0.375,-4,300.0,2019,Leonard Fournette,7404786,2933262,running-back
23,Jaguars,6,10,0,0.375,-4,300.0,2019,Marqise Lee,9234375,7531250,wide-receiver
24,Chiefs,12,4,0,0.75,8,451.0,2019,LeSean McCoy,3000000,3000000,running-back
25,Chiefs,12,4,0,0.75,8,451.0,2019,Sammy Watkins,19200000,12200000,wide-receiver
26,Broncos,7,9,0,0.438,-2,282.0,2019,Theo Riddick,2468750,2500000,running-back
27,Broncos,7,9,0,0.438,-2,282.0,2019,Courtland Sutton,1554984,790997,wide-receiver
28,Raiders,7,9,0,0.438,-2,313.0,2019,Josh Jacobs,2169709,7193836,running-back
29,Raiders,7,9,0,0.438,-2,313.0,2019,Tyrell Williams,10100000,10100000,wide-receiver
30,Chargers,5,11,0,0.313,-6,337.0,2019,Melvin Gordon,4615882,4615882,running-back
31,Chargers,5,11,0,0.313,-6,337.0,2019,Keenan Allen,12150000,10250000,wide-receiver
32,Eagles,9,7,0,0.563,2,385.0,2019,Miles Sanders,974587,2413348,running-back
33,Eagles,9,7,0,0.563,2,385.0,2019,Alshon Jeffery,6069000,11750000,wide-receiver
34,Cowboys,8,8,0,0.5,0,434.0,2019,Ezekiel Elliott,6339653,8252137,running-back
35,Cowboys,8,8,0,0.5,0,434.0,2019,Amari Cooper,13924000,13924000,wide-receiver
36,Giants,4,12,0,0.25,-8,341.0,2019,Saquon Barkley,7089716,1897943,running-back
37,Giants,4,12,0,0.25,-8,341.0,2019,Golden Tate,7035294,14535294,wide-receiver
38,Packers,13,3,0,0.813,10,376.0,2019,Dexter Williams,536514,661056,running-back
39,Packers,13,3,0,0.813,10,376.0,2019,Davante Adams,10850000,7125000,wide-receiver
40,Vikings,10,6,0,0.625,4,407.0,2019,Alexander Mattison,700545,1317180,running-back
41,Vikings,10,6,0,0.625,4,407.0,2019,Adam Thielen,8105000,14273750,wide-receiver
42,Bears,8,8,0,0.5,0,280.0,2019,David Montgomery,756545,1541180,running-back
43,Bears,8,8,0,0.5,0,280.0,2019,Allen Robinson,15000000,13000000,wide-receiver
44,Lions,3,12,1,0.219,-9,341.0,2019,Kerryon Johnson,1478113,775623,running-back
45,Lions,3,12,1,0.219,-9,341.0,2019,Marvin Jones,9195882,6500000,wide-receiver
46,Saints,13,3,0,0.813,10,458.0,2019,Latavius Murray,1850000,4400000,running-back
47,Saints,13,3,0,0.813,10,458.0,2019,Michael Thomas,6128765,21648043,wide-receiver
48,Falcons,7,9,0,0.438,-2,381.0,2019,Devonta Freeman,6750000,3750000,running-back
49,Falcons,7,9,0,0.438,-2,381.0,2019,Julio Jones,10366666,26500000,wide-receiver
50,Buccaneers,7,9,0,0.438,-2,458.0,2019,Peyton Barber,2125000,2125000,running-back
51,Buccaneers,7,9,0,0.438,-2,458.0,2019,Mike Evans,15200000,20000000,wide-receiver
52,Panthers,5,11,0,0.313,-6,340.0,2019,Christian McCaffrey,4702174,2032392,running-back
53,Panthers,5,11,0,0.313,-6,340.0,2019,Jarius Wright,2466666,1600000,wide-receiver
54,49ers,13,3,0,0.813,10,479.0,2019,Jerick McKinnon,5750000,3750000,running-back
55,49ers,13,3,0,0.813,10,479.0,2019,Emmanuel Sanders,5970588,5970588,wide-receiver
56,Seahawks,11,5,0,0.688,6,405.0,2019,Rashaad Penny,2446690,969338,running-back
57,Seahawks,11,5,0,0.688,6,405.0,2019,Tyler Lockett,7357000,5407000,wide-receiver
58,Rams,9,7,0,0.563,2,394.0,2019,Todd Gurley,9200000,5000000,running-back
59,Rams,9,7,0,0.563,2,394.0,2019,Brandin Cooks,15259000,27459000,wide-receiver
60,Cardinals,5,10,1,0.344,-5,361.0,2019,David Johnson,9750000,6656250,running-back
61,Cardinals,5,10,1,0.344,-5,361.0,2019,Larry Fitzgerald,11250000,11000000,wide-receiver
62,Bills,13,3,0,0.813,10,501.0,2020,Taiwan Jones,1656250,1750000,running-back
63,Bills,13,3,0,0.813,10,501.0,2020,Stefon Diggs,13450000,14700000,wide-receiver
64,Dolphins,10,6,0,0.625,4,404.0,2020,Matt Breida,3259000,3259000,running-back
65,Dolphins,10,6,0,0.625,4,404.0,2020,DeVante Parker,6100000,6162500,wide-receiver
66,Patriots,7,9,0,0.438,-2,326.0,2020,James White,4593750,3500000,running-back
67,Patriots,7,9,0,0.438,-2,326.0,2020,Julian Edelman,9666666,3937500,wide-receiver
68,Jets,2,14,0,0.125,-12,243.0,2020,La'Mical Perine,746924,1305932,running-back
69,Jets,2,14,0,0.125,-12,243.0,2020,Jamison Crowder,10000000,9000000,wide-receiver
70,Steelers,12,4,0,0.75,8,416.0,2020,"Anthony McFarland, Jr.",790608,1332432,running-back
71,Steelers,12,4,0,0.75,8,416.0,2020,Chase Claypool,1203025,2982100,wide-receiver
72,Ravens,11,5,0,0.688,6,468.0,2020,Mark Ingram,5333333,4000000,running-back
73,Ravens,11,5,0,0.688,6,468.0,2020,Willie Snead,5412059,3662059,wide-receiver
74,Browns,11,5,0,0.688,6,408.0,2020,Kareem Hunt,4009000,4009000,running-back
75,Browns,11,5,0,0.688,6,408.0,2020,Odell Beckham Jr.,14250000,14250000,wide-receiver
76,Bengals,4,11,1,0.281,-7,311.0,2020,Joe Mixon,3850938,11325000,running-back
77,Bengals,4,11,1,0.281,-7,311.0,2020,A.J. Green,17971000,17971000,wide-receiver
78,Titans,11,5,0,0.688,6,491.0,2020,Derrick Henry,6000000,15000000,running-back
79,Titans,11,5,0,0.688,6,491.0,2020,Adam Humphries,9609375,7109375,wide-receiver
80,Colts,11,5,0,0.688,6,451.0,2020,Jonathan Taylor,1423482,3863928,running-back
81,Colts,11,5,0,0.688,6,451.0,2020,T.Y. Hilton,14542000,14542000,wide-receiver
82,Texans,4,12,0,0.25,-8,384.0,2020,David Johnson,11156250,10762500,running-back
83,Texans,4,12,0,0.25,-8,384.0,2020,Randall Cobb,6101563,9984375,wide-receiver
84,Jaguars,1,15,0,0.063,-14,306.0,2020,Chris Thompson,1368750,1350000,running-back
85,Jaguars,1,15,0,0.063,-14,306.0,2020,Laviska Shenault,1399285,3767140,wide-receiver
86,Chiefs,14,2,0,0.875,12,473.0,2020,Clyde Edwards-Helaire,1967559,6040236,running-back
87,Chiefs,14,2,0,0.875,12,473.0,2020,Tyreek Hill,17740000,16290000,wide-receiver
88,Raiders,8,8,0,0.5,0,434.0,2020,Jalen Richard,3625000,3500000,running-back
89,Raiders,8,8,0,0.5,0,434.0,2020,Tyrell Williams,11100000,11100000,wide-receiver
90,Chargers,7,9,0,0.438,-2,384.0,2020,Austin Ekeler,5000000,9500000,running-back
91,Chargers,7,9,0,0.438,-2,384.0,2020,Keenan Allen,10350000,19250000,wide-receiver
92,Broncos,5,11,0,0.313,-6,323.0,2020,Melvin Gordon,7000000,9000000,running-back
93,Broncos,5,11,0,0.313,-6,323.0,2020,Jerry Jeudy,2762356,9219424,wide-receiver
94,Giants,6,10,0,0.375,-4,280.0,2020,Saquon Barkley,8597659,3405886,running-back
95,Giants,6,10,0,0.375,-4,280.0,2020,Golden Tate,10352942,8000000,wide-receiver
96,Cowboys,6,10,0,0.375,-4,395.0,2020,Ezekiel Elliott,10900000,19800000,running-back
97,Cowboys,6,10,0,0.375,-4,395.0,2020,Amari Cooper,12000000,20000000,wide-receiver
98,Eagles,4,11,1,0.281,-7,334.0,2020,Corey Clement,825000,825000,running-back
99,Eagles,4,11,1,0.281,-7,334.0,2020,Alshon Jeffery,14979559,11500000,wide-receiver
100,Packers,13,3,0,0.813,10,509.0,2020,Jamaal Williams,2274498,2133000,running-back
101,Packers,13,3,0,0.813,10,509.0,2020,Davante Adams,16475000,13000000,wide-receiver
102,Bears,8,8,0,0.5,0,372.0,2020,Tarik Cohen,3041289,8133000,running-back
103,Bears,8,8,0,0.5,0,372.0,2020,Allen Robinson,15000000,13000000,wide-receiver
104,Vikings,7,9,0,0.438,-2,430.0,2020,Dalvin Cook,4616419,16331361,running-back
105,Vikings,7,9,0,0.438,-2,430.0,2020,Adam Thielen,12768750,10000000,wide-receiver
106,Lions,5,11,0,0.313,-6,377.0,2020,D'Andre Swift,1552530,4380120,running-back
107,Lions,5,11,0,0.313,-6,377.0,2020,Marvin Jones,9195883,6500000,wide-receiver
108,Saints,12,4,0,0.75,8,482.0,2020,Alvin Kamara,4076193,15833000,running-back
109,Saints,12,4,0,0.75,8,482.0,2020,Michael Thomas,7000000,11000000,wide-receiver
110,Buccaneers,11,5,0,0.688,6,492.0,2020,Leonard Fournette,2500000,2000000,running-back
111,Buccaneers,11,5,0,0.688,6,492.0,2020,Mike Evans,8387500,16750000,wide-receiver
112,Panthers,5,11,0,0.313,-6,350.0,2020,Christian McCaffrey,7794782,22325000,running-back
113,Panthers,5,11,0,0.313,-6,350.0,2020,Robbie Chosen,8000000,12000000,wide-receiver
114,Falcons,4,12,0,0.25,-8,396.0,2020,Todd Gurley,5500000,5500000,running-back
115,Falcons,4,12,0,0.25,-8,396.0,2020,Julio Jones,20416668,22200000,wide-receiver
116,Seahawks,12,4,0,0.75,8,459.0,2020,Carlos Hyde,2750000,2562500,running-back
117,Seahawks,12,4,0,0.75,8,459.0,2020,Tyler Lockett,12250000,10200000,wide-receiver
118,Rams,10,6,0,0.625,4,372.0,2020,Cam Akers,1122371,2659484,running-back
119,Rams,10,6,0,0.625,4,372.0,2020,Robert Woods,8375000,8000000,wide-receiver
120,Cardinals,8,8,0,0.5,0,410.0,2020,Kenyan Drake,8483000,8483000,running-back
121,Cardinals,8,8,0,0.5,0,410.0,2020,DeAndre Hopkins,7000000,29000000,wide-receiver
122,49ers,6,10,0,0.375,-4,376.0,2020,Tevin Coleman,4868750,4900000,running-back
123,49ers,6,10,0,0.375,-4,376.0,2020,Brandon Aiyuk,2278427,7283708,wide-receiver
124,Bills,11,6,0,0.647,5,483.0,2021,Taiwan Jones,1667647,1750000,running-back
125,Bills,11,6,0,0.647,5,483.0,2021,Stefon Diggs,6378954,13755882,wide-receiver
126,Patriots,10,7,0,0.588,3,462.0,2021,James White,1212500,2462500,running-back
127,Patriots,10,7,0,0.588,3,462.0,2021,Nelson Agholor,6941176,11882353,wide-receiver
128,Dolphins,9,8,0,0.529,1,341.0,2021,Malcolm Brown,1750000,1750000,running-back
129,Dolphins,9,8,0,0.529,1,341.0,2021,Jaylen Waddle,4924726,17718904,wide-receiver
130,Jets,4,13,0,0.235,-9,310.0,2021,Michael Carter,821006,1426526,running-back
131,Jets,4,13,0,0.235,-9,310.0,2021,Corey Davis,12666666,14000000,wide-receiver
132,Bengals,10,7,0,0.588,3,460.0,2021,Joe Mixon,8420588,8670588,running-back
133,Bengals,10,7,0,0.588,3,460.0,2021,Ja'Marr Chase,5603571,20434284,wide-receiver
134,Steelers,9,7,1,0.559,2,343.0,2021,Najee Harris,2372262,7509048,running-back
135,Steelers,9,7,1,0.559,2,343.0,2021,JuJu Smith-Schuster,2400000,8000000,wide-receiver
136,Browns,8,9,0,0.471,-1,349.0,2021,Nick Chubb,4782381,12920000,running-back
137,Browns,8,9,0,0.471,-1,349.0,2021,Jarvis Landry,14711765,13029412,wide-receiver
138,Ravens,8,9,0,0.471,-1,387.0,2021,Gus Edwards,2250000,4750000,running-back
139,Ravens,8,9,0,0.471,-1,387.0,2021,Rashod Bateman,2290802,7183208,wide-receiver
