,Team,W,L,T,win_pct,win_loss_diff,PF,Year,avg_age,total_cap,active_roster_spending,dead_cap
0,Patriots,12,4,0,0.75,8,420,2019,27.6,192501047,156633955,25721180
1,Bills,10,6,0,0.625,4,314,2019,26.9,174804987,152820449,16935454
2,Jets,7,9,0,0.438,-2,276,2019,26.0,188464903,96678757,27627375
3,Dolphins,5,11,0,0.313,-6,306,2019,25.4,175757955,60872168,66915649
4,Ravens,14,2,0,0.875,12,531,2019,26.8,190028527,139521776,30289731
5,Steelers,8,8,0,0.5,0,289,2019,25.7,206404929,129754417,34440395
6,Browns,6,10,0,0.375,-4,335,2019,25.2,212753859,156151812,32279494
7,Bengals,2,14,0,0.125,-12,279,2019,25.9,184954951,132358691,13714635
8,Texans,10,6,0,0.625,4,378,2019,26.6,198106556,145821737,27378439
9,Titans,9,7,0,0.563,2,402,2019,26.1,197086185,152774763,13858861
10,Colts,7,9,0,0.438,-2,361,2019,25.7,196100572,142403804,24497343
11,Jaguars,6,10,0,0.375,-4,300,2019,25.3,190540169,122743628,36694954
12,Chiefs,12,4,0,0.75,8,451,2019,26.7,166507002,135179512,20952726
13,Broncos,7,9,0,0.438,-2,282,2019,25.3,182229585,105297174,31913480
14,Chargers,5,11,0,0.313,-6,337,2019,26.4,184097522,155395193,9015689
15,Eagles,9,7,0,0.563,2,385,2019,25.9,170362399,118556337,21682104
16,Cowboys,8,8,0,0.5,0,434,2019,26.6,182367508,148849800,10331548
17,Giants,4,12,0,0.25,-8,341,2019,25.7,194612924,125098384,55156416
18,Packers,13,3,0,0.813,10,376,2019,26.2,191756597,163872581,18461901
19,Vikings,10,6,0,0.625,4,407,2019,26.1,191016955,177166406,8379795
20,Bears,8,8,0,0.5,0,280,2019,26.2,182861976,140944391,10501014
21,Lions,3,12,1,0.219,-9,341,2019,25.8,176627499,93511403,15128283
22,Saints,13,3,0,0.813,10,458,2019,26.7,187888357,153202407,22045611
23,Falcons,7,9,0,0.438,-2,381,2019,26.6,184246919,132338075,18699611
24,Buccaneers,7,9,0,0.438,-2,458,2019,26.0,184939978,150155466,10905630
25,Panthers,5,11,0,0.313,-6,340,2019,26.4,183306165,117133265,14566817
26,49ers,13,3,0,0.813,10,479,2019,26.1,220650341,166552577,25590420
27,Seahawks,11,5,0,0.688,6,405,2019,26.2,184894364,131014550,26351929
